DR,CRIMETYPE
131004243,BURG
90408484,BTFV
100923722,GTA
101519991,BTFV
131800640,BTFV
101916220,BURG
90701125,GTA
130221220,BURG
101200524,BTFV
91014677,GTA
130620169,GTA
130316894,THEFT
141408224,BURG
101205100,BTFV
111228431,BURG
92111825,GTA
101009631,BURG
130807598,GTA
120405469,BURG
131801488,BTFV
91120264,GTA
100518161,ROBB
141006555,GTA
111812156,BURG
112021697,BURG
121816926,ROBB
140708736,AGG
121804720,BURG
141911135,ROBB
101106635,BURG
90519831,ROBB
101211414,BURG
101707704,ROBB
101716736,ROBB
140108273,BURG
90304241,ROBB
111609994,BURG
130708118,GTA
110218886,BURG
141408738,ROBB
111801139,BURG
121517506,GTA
101918279,BURG
121110656,BURG
120304387,GTA
120922331,BURG
90715985,GTA
110804207,BURG
91607270,GTA
140105532,ROBB
90322902,GTA
101721372,GTA
121421171,ROBB
141416004,GTA
91321791,BURG
91123609,GTA
112119661,THEFT
120212678,ROBB
130904249,GTA
121008813,GTA
92021848,THEFT
101711802,BURG
122117268,BURG
100305382,GTA
91429539,BTFV
130811053,THEFT
100521292,BURG
132005627,GTA
110918591,BURG
110521211,ROBB
112012868,ROBB
120616443,GTA
91310623,AGG
141204870,ROBB
122120217,BURG
130817212,BURG
121406499,ROBB
122007314,BURG
130320505,GTA
90701164,GTA
132105479,7
100327668,BTFV
101522743,GTA
111721101,BTFV
90220551,ROBB
101309679,7
90308037,ROBB
110300602,7
140104021,THEFT
130214644,GTA
122106843,AGG
120504748,GTA
90207716,GTA
91524879,GTA
110113531,THEFT
90711229,ROBB
101308737,BURG
91012167,GTA
101704096,ROBB
121511580,BURG
110605056,THEFT
100624938,THEFT
121708177,ROBB
111405395,BURG
90323127,BURG
100219078,ROBB
90814227,GTA
130305413,ROBB
140213876,GTA
101221376,GTA
131423447,THEFT
92100568,GTA
111500766,ROBB
92018201,GTA
131012769,GTA
111909600,BURG
100811273,GTA
110310664,THEFT
130312553,BTFV
100307802,BTFV
100801253,BURG
90511001,BURG
131905372,GTA
101317618,BURG
110607755,BTFV
130717796,GTA
111210727,THEFT
140804581,GTA
111418847,BURG
120321637,GTA
140906493,THEFT
131817391,BURG
100206009,BURG
121409100,AGG
110207066,ROBB
90900691,GTA
91927280,GTA
91415689,BURG
131004607,BURG
90506883,GTA
130310224,ROBB
91022208,BURG
90205682,BTFV
130623285,GTA
91228645,GTA
101609238,BTFV
90120628,AGG
131120047,GTA
130309007,GTA
140509804,BTFV
101604619,GTA
92110185,GTA
101319551,ROBB
121918102,ROBB
120315101,BURG
100625462,GTA
121822140,BTFV
91507076,GTA
91515337,ROBB
110118788,GTA
90718066,GTA
101709001,GTA
120209658,GTA
130217095,BTFV
141808695,GTA
91706318,ROBB
132117527,BURG
100904411,ROBB
120316518,ROBB
90214887,THEFT
91326037,ROBB
130204585,BTFV
91425092,GTA
131600505,BTFV
90513363,GTA
120204234,THEFT
90819610,GTA
120814405,BURG
91507889,GTA
100508914,BURG
111513045,ROBB
90610396,BURG
130415591,BURG
110707478,GTA
111921379,AGG
101912654,GTA
121517581,BURG
122005640,BURG
131221849,ROBB
120716992,THEFT
111705033,BURG
131011645,GTA
101612543,ROBB
101320373,BURG
101428744,ROBB
91823151,BURG
131601569,ROBB
141106512,BTFV
90922048,BTFV
121516509,ROBB
131013809,BURG
131015474,BTFV
111806599,ROBB
120904038,BURG
121120795,ROBB
110501382,GTA
121017740,BURG
112020931,BURG
112005237,GTA
122020237,ROBB
110629545,GTA
91020302,ROBB
141808913,BURG
91905365,GTA
121918477,ROBB
100318883,THEFT
90901006,BTFV
101408572,ROBB
112109216,BURG
91921120,GTA
91511104,ROBB
111112105,ROBB
111204035,ROBB
121010767,GTA
111710931,GTA
130805313,ROBB
91817839,ROBB
130515296,BURG
120210992,GTA
111214746,BTFV
101620595,ROBB
111011076,THEFT
120904029,BURG
90706753,BURG
91013334,GTA
91501303,BURG
91805787,BURG
111620796,GTA
110311247,7
120312497,ROBB
91124807,AGG
131925375,ROBB
131809301,BTFV
130220258,GTA
111910737,BTFV
100904942,7
100310832,BTFV
120313772,BURG
131922660,BTFV
110624626,GTA
101501617,BURG
120607884,BURG
130912427,GTA
121911458,ROBB
141206113,GTA
130806396,GTA
131217123,GTA
110708832,THEFT
111600782,ROBB
131221825,ROBB
111326949,BURG
110317333,GTA
141904762,GTA
90919663,BURG
131608311,BURG
101305946,GTA
92113621,BTFV
120615024,BURG
91004593,BURG
120618377,GTA
121212857,GTA
130507088,GTA
102117363,GTA
121810373,BTFV
141607217,BTFV
131209412,BURG
130709561,BURG
121316694,GTA
111225533,BURG
111617658,GTA
140313886,GTA
130417099,BTFV
130705763,GTA
131429724,8
122115894,BURG
101508866,GTA
90107965,GTA
121323512,ROBB
121306200,ROBB
90209228,BURG
101516807,ROBB
100310062,GTA
131713397,BTFV
90322650,GTA
91023258,GTA
91825649,ROBB
122011032,ROBB
111319748,ROBB
121613526,GTA
121205529,BURG
141205104,BURG
141113434,BTFV
120922291,AGG
120904069,BURG
130711038,GTA
101204638,BURG
130718375,ROBB
91114136,GTA
121210666,GTA
112116607,BURG
91110089,GTA
141509708,BURG
111321972,GTA
100408907,BURG
91621735,ROBB
101007299,GTA
101218905,BTFV
132119584,GTA
91411436,BURG
101309144,BURG
130624836,ROBB
120216328,GTA
101209699,BTFV
111900577,THEFT
121215734,AGG0
100518036,ROBB
101208525,BURG
92121817,BURG
131116335,GTA
140605511,GTA
131405180,BURG
120320421,GTA
120214542,BTFV
90329123,BTFV
100806783,GTA
132016190,GTA
101501591,GTA
130812207,GTA
131225081,BURG
140710851,ROBB
91219989,BTFV
110207338,BURG
120414716,GTA
92015291,BURG
100408472,ROBB
91908646,GTA
91614108,GTA
91410690,GTA
131307213,GTA
141813347,7
110707636,BURG
100405313,BURG
130400858,AGG
101915944,BURG
111120501,ROBB
122009816,ROBB
130417725,BURG
130516740,GTA
111704844,BURG
90914934,GTA
101701057,BTFV
130713629,GTA
110604871,BTFV
121210271,BURG
130320622,BURG
120315925,BURG
101820483,GTA
91307562,BURG
121609828,BTFV
111505683,BURG
91524902,BURG
91315465,BTFV
131510932,BURG
111506808,THEFT
121016628,GTA
130405851,BURG
111113723,GTA
121910599,AGG
131206996,ROBB
101814159,BURG
100716853,BURG
100907189,BURG
91216547,BTFV
91231863,GTA
91023203,BURG
132110607,GTA
111714956,ROBB
130900869,GTA
120600968,7
121113837,ROBB
130207834,GTA
91008603,GTA
141210191,BTFV
90709092,BTFV
111707489,GTA
141800578,AGG
131407459,GTA
90907802,ROBB
131607856,BURG
111117798,GTA
91308824,GTA
111819974,BTFV
141911964,7
90413318,GTA
100207832,ROBB
100804979,GTA
110811433,ROBB
101823684,GTA
140511523,GTA
120204391,GTA
130104231,GTA
110319610,ROBB
90417101,THEFT
120323692,BTFV
110107240,BURG
131706865,BTFV
111314915,GTA
91808866,AGG
101218260,BTFV
121504836,GTA
92124760,ROBB
142111817,BURG
130625592,GTA
90304308,GTA
121619663,ROBB
90317631,BTFV
90820231,BTFV
121601545,GTA
111606964,BURG
120520596,GTA
122004536,BURG
90213182,BTFV
120408729,GTA
91718356,GTA
111120229,GTA
141312757,7
131427687,GTA
122117073,THEFT
91008995,GTA
141204257,GTA
111811809,GTA
100508378,GTA
100710017,THEFT
110322379,ROBB
120801292,ROBB
121105704,BTFV
130205393,BURG
100914537,ROBB
141505704,ROBB
101909267,ROBB
111922501,GTA
142004332,BTFV
121120675,GTA
110710429,GTA
90626372,ROBB
102108174,BURG
90416192,ROBB
120115457,BURG
110319419,ROBB
120327018,GTA
91304403,BTFV
111206389,AGG
142105034,GTA
131116991,GTA
131913069,BTFV
91817449,AGG
110919599,BURG
101804758,BTFV
90105485,BURG
111307702,THEFT
110407346,BTFV
131520778,THEFT
91309223,GTA
111907101,BTFV
90204532,GTA
90711387,ROBB
110619002,GTA
140400782,BTFV
130413299,ROBB
131101003,BURG
111224699,GTA
91004702,GTA
101410772,GTA
111019415,GTA
110714790,ROBB
110517215,GTA
90618820,BURG
111520051,ROBB
100316682,BURG
110207496,BTFV
100908013,BTFV
131719050,BURG
100606053,BTFV
92008749,GTA
121605013,GTA
140806675,BURG
110305791,GTA
130624467,BTFV
101513644,GTA
120623921,ROBB
121714642,ROBB
140613484,THEFT
120416575,BURG
131428575,ROBB
90800839,BURG
131415294,BURG
131909018,AGG
101804033,BTFV
121909008,9
101205167,GTA
101229132,AGG
101510156,GTA
90413483,GTA
141414671,ROBB
120613009,BURG
110313707,GTA
100512886,GTA
90805618,THEFT
131520634,BURG
110816852,BURG
90116959,BURG
121005287,GTA
91220616,ROBB
121318507,BURG
91023850,BURG
121226236,BTFV
91307539,ROBB
90819297,7
101225167,GTA
101706939,ROBB
120319122,AGG
121810805,BURG
92006217,ROBB
90904519,GTA
121808786,GTA
110613523,THEFT
121210232,ROBB
131414570,BTFV
101205373,GTA
121212840,THEFT
131227244,GTA
130326432,GTA
130718013,BURG
131600585,ROBB
90900964,BTFV
140116831,BTFV
101714716,ROBB
101228208,GTA
120814370,GTA
90411825,BURG
102104785,GTA
111808275,BTFV
141215517,7
120605750,AGG
111111884,ROBB
90916472,ROBB
101306494,GTA
101206771,GTA
121118088,BTFV
140114507,BTFV
91611326,GTA
120921135,BURG
91701257,GTA
131416837,GTA
121917694,ROBB
111707401,THEFT
111215953,GTA
130408137,ROBB
90707449,ROBB
130806689,GTA
90622563,BURG
91218599,BURG
110307921,BTFV
130700977,BURG
90611725,THEFT
90306979,BURG
141211354,BURG
111307848,BTFV
110114551,ROBB
131609904,BURG
121712504,ROBB
91509985,ROBB
120604747,THEFT
140504883,BTFV
120208456,BTFV
121504055,BURG
141105697,BURG
100907179,GTA
140706108,BURG
141007802,7
121507023,BURG
120913289,GTA
140406094,BURG
120918488,BURG
90807363,ROBB
91521847,ROBB
111820099,GTA
130325666,GTA
131216628,ROBB
92124242,AGG
101519590,BURG
131109701,BURG
90711616,BTFV
102107702,BURG
100311105,GTA
140406101,BURG
121212595,ROBB
142005745,BURG
131805739,GTA
130222843,BURG
121000846,BTFV
120900774,ROBB
131220064,7
91326854,ROBB
131015216,ROBB
91305138,BURG
91423549,GTA
91925507,GTA
131608076,BURG
130716012,7
91415337,ROBB
91109390,BURG
131509332,BURG
130517524,ROBB
92113682,ROBB
101925019,ROBB
112119042,ROBB
100314742,GTA
110719052,BTFV
101414882,THEFT
91319900,BTFV
100617994,ROBB
110321290,ROBB
110216622,GTA
120914142,BURG
121908371,GTA
110708881,ROBB
91124612,BURG
101408358,GTA
121104430,BURG
131310732,GTA
122110518,ROBB
111214835,GTA
130501145,GTA
91508104,BURG
110628148,THEFT
141810835,GTA
121408842,ROBB
130223979,BURG
91014388,BURG
120507179,ROBB
111601297,BTFV
120113982,GTA
110323133,ROBB
91209257,THEFT
101218749,GTA
122118149,ROBB
141414822,THEFT
111313263,BTFV
121104914,GTA
101020571,7
90712364,BURG
130614751,GTA
92100582,GTA
121005953,GTA
90610273,ROBB
131500976,BURG
131005991,GTA
101806380,GTA
110404475,GTA
120416550,ROBB
91124034,GTA
91209305,ROBB
122004622,7
101120820,BURG
90707244,ROBB
111500923,GTA
110701166,BTFV
90212946,BTFV
121015263,BURG
141911472,BTFV
101018442,ROBB
110207501,7
90716021,GTA
90322903,ROBB
111206903,GTA
121807818,GTA
101516480,GTA
100506596,GTA
91409332,GTA
91710653,GTA
130216846,BTFV
121210654,BURG
131112179,GTA
101819090,GTA
101222212,GTA
101308647,7
121918881,ROBB
131716217,BURG
111410278,ROBB
131416243,ROBB
100411178,BTFV
90111309,BURG
130811119,7
131117626,GTA
121615879,GTA
130718713,ROBB
91014885,GTA
120218152,GTA
121321844,ROBB
131924306,BURG
101821046,BURG
111822848,GTA
121309606,GTA
132106086,ROBB
101600998,GTA
101825038,GTA
121211478,GTA
90925305,BURG
92015860,GTA
111609086,BTFV
111605538,GTA
141712252,GTA
101817309,AGG
130306060,ROBB
100318295,GTA
100913827,GTA
121222588,BURG
100101311,ROBB
120325505,ROBB
101226060,GTA
131000823,ROBB
91311954,BTFV
141212198,BURG
121506512,BURG
111801187,BTFV
91819341,GTA
130308392,BTFV
101519432,BURG
91511255,BURG
120604636,GTA
101118980,GTA
91811132,BTFV
131317295,GTA
91020357,GTA
141309842,BTFV
102013370,GTA
131216224,BTFV
110119654,ROBB
100325817,ROBB
91427775,THEFT
121923104,BURG
130916945,GTA
141309115,GTA
90318092,BURG
102114068,BURG
131318347,GTA
110700539,8
131118981,ROBB
121117338,ROBB
122109442,BURG
101813646,BURG
120311746,BURG
90320315,BURG
101406638,GTA
140804494,BTFV
120106689,GTA
110817330,GTA
100113772,BURG
130117140,BURG
110520594,ROBB
131508929,BURG
100317419,BURG
91311347,THEFT
100704515,GTA
140904278,BURG
91110361,GTA
120123887,ROBB
130517693,BTFV
100326468,ROBB
90627044,GTA
130606541,8
90306163,BTFV
102118043,BTFV
101427938,ROBB
100318301,BURG
121822395,THEFT
140311384,GTA
92013807,GTA
130117469,7
121105361,GTA
131613464,BTFV
131601165,BTFV
100625112,GTA
121213013,GTA
100623630,BURG
91821628,ROBB
91518767,GTA
91705531,GTA
142111269,7
111916045,GTA
90514368,BURG
111207339,GTA
110708421,BTFV
111117686,ROBB
101910614,ROBB
121422998,GTA
110206239,THEFT
90311555,THEFT
100502288,ROBB
130300521,GTA
90711060,ROBB
131424303,THEFT
100905928,ROBB
100216510,GTA
121019396,GTA
111225061,ROBB
110922679,BURG
130113665,GTA
100620973,ROBB
131319281,GTA
111504342,BURG
110325633,GTA
130624984,BURG
91808227,GTA
142111667,BURG
111406740,GTA
131609732,BURG
120222428,BURG
120700588,BURG
141214266,GTA
110404714,7
111307611,BURG
101213401,BTFV
110911304,ROBB
101224081,ROBB
142013075,8
131511828,GTA
141410330,BTFV
101926913,ROBB
90321968,ROBB
121219971,8
140407669,GTA
131414552,BURG
141304665,THEFT
92110645,BURG
101904845,ROBB
101621315,ROBB
131424258,BURG
121427556,BURG
111922969,BURG
101304727,BURG
100713588,BURG
101821940,ROBB
100313022,GTA
90408917,GTA
90308757,GTA
91817788,BTFV
120404191,BURG
111720111,BURG
90409548,ROBB
130206506,ROBB
120612541,BURG
90329645,BTFV
131918656,BURG
130306321,GTA
120817517,GTA
111901571,BURG
91926991,BTFV
140507174,AGG
91604441,BURG
130515024,THEFT
121226895,GTA
91317155,BURG
91227735,BURG
111322158,GTA
91721202,BURG
91508310,BURG
101314033,ROBB
120515582,BURG
91009108,BURG
131816810,ROBB
120809518,BURG
111423131,ROBB
140507205,7
110304887,GTA
91804152,BURG
130910655,BTFV
90710341,7
141216554,BURG
121320807,THEFT
131711207,GTA
90414469,AGG
90418792,BURG
141711190,7
91228403,GTA
91115947,GTA
91233035,BURG
101315001,BURG
111908456,THEFT
91712691,8
121609436,ROBB
110501424,BTFV
102112455,ROBB
91126356,GTA
90208203,GTA
131501113,THEFT
101708186,BURG
101523574,GTA
131205455,GTA
91211456,BURG
131519406,BTFV
100307838,ROBB
110209413,8
110906344,GTA
120101526,GTA
101712997,GTA
121909626,BURG
141214521,BTFV
100907630,BURG
141915034,GTA
100908510,BTFV
141704812,BURG
111112315,THEFT
90911844,BURG
90522590,BURG
121708595,GTA
101907370,GTA
131924325,ROBB
132010044,BURG
131922835,GTA
110401420,BURG
131311277,GTA
111227145,BURG
131812099,BTFV
140511280,ROBB
131815887,BTFV
111904700,GTA
91614981,ROBB
100200737,BTFV
140609201,ROBB
120921304,GTA
100919477,THEFT
130106162,GTA
101900628,AGG
130107515,GTA
100112036,BURG
101804578,GTA
120121923,THEFT
101518729,GTA
120325128,BURG
101820571,ROBB
90626721,GTA
101018795,BURG
120301129,BTFV
131506445,THEFT
101100875,AGG
110308974,GTA
111804651,ROBB
120416194,GTA
111206786,GTA
90310257,BURG
130317700,THEFT
121317678,BTFV
130713373,GTA
140509190,BURG
92122855,GTA
111004492,GTA
