"","DR","CRIMETYPE.1","CRIMETYPE.2","CRIMETYPE.3","CRIMETYPE.4","CRIMETYPE.5","CRIMETYPE.6"
"11501",131004243,AGG,AGG,AGG,AGG,AGG,AGG
"11502", 90408484,AGG,0,0,AGG,AGG,AGG
"11503",100923722,AGG,AGG,AGG,AGG,AGG,AGG
"11504",101519991,AGG,AGG,0,AGG,AGG,AGG
"11505",131800640,AGG,AGG,AGG,AGG,AGG,AGG
"11506",101916220,AGG,AGG,AGG,AGG,AGG,AGG
"11507", 90701125,AGG,AGG,AGG,AGG,AGG,AGG
"11508",130221220,AGG,AGG,AGG,AGG,AGG,AGG
"11509",101200524,AGG,AGG,AGG,AGG,AGG,AGG
"11510", 91014677,AGG,AGG,AGG,AGG,AGG,AGG
"11511",130620169,AGG,AGG,AGG,AGG,AGG,AGG
"11512",130316894,AGG,AGG,AGG,AGG,AGG,AGG
"11513",141408224,AGG,AGG,AGG,AGG,AGG,AGG
"11514",101205100,AGG,AGG,AGG,AGG,AGG,AGG
"11515",111228431,AGG,AGG,AGG,AGG,AGG,AGG
"11516", 92111825,AGG,AGG,AGG,AGG,AGG,AGG
"11517",101009631,0,AGG,AGG,AGG,0,AGG
"11518",130807598,AGG,AGG,AGG,AGG,AGG,AGG
"11519",120405469,AGG,AGG,AGG,AGG,AGG,AGG
"11520",131801488,AGG,AGG,AGG,AGG,AGG,AGG
"11521", 91120264,AGG,AGG,AGG,AGG,AGG,AGG
"11522",100518161,AGG,AGG,AGG,AGG,AGG,AGG
"11523",141006555,AGG,AGG,AGG,AGG,AGG,AGG
"11524",111812156,AGG,AGG,AGG,AGG,AGG,AGG
"11525",112021697,AGG,AGG,AGG,AGG,0,AGG
"11526",121816926,AGG,AGG,AGG,AGG,AGG,AGG
"11527",140708736,AGG,AGG,AGG,0,AGG,0
"11528",121804720,AGG,AGG,AGG,AGG,AGG,AGG
"11529",141911135,AGG,AGG,AGG,AGG,AGG,AGG
"11530",101106635,AGG,AGG,0,AGG,AGG,AGG
"11531", 90519831,AGG,AGG,AGG,AGG,AGG,AGG
"11532",101211414,AGG,AGG,AGG,AGG,AGG,AGG
"11533",101707704,AGG,AGG,AGG,AGG,AGG,AGG
"11534",101716736,AGG,AGG,AGG,AGG,AGG,AGG
"11535",140108273,AGG,AGG,AGG,AGG,AGG,0
