DR,CRIMETYPE
131004243,BURG
90408484,BURG
100923722,GTA
101519991,BTFV
131800640,AGG
101916220,BURG
90701125,GTA
130221220,BURG
101200524,BTFV
91014677,THEFT
130620169,BURG
130316894,THEFT
141408224,BTFV
101205100,BTFV
111228431,BURG
92111825,ROBB
101009631,BURG
130807598,GTA
120405469,BURG
131801488,BTFV
91120264,BURG
100518161,ROBB
141006555,GTA
111812156,GTA
112021697,BURG
121816926,THEFT
140708736,BTFV
121804720,ROBB
141911135,BURG
101106635,GTA
90519831,GTA
101211414,ROBB
101707704,THEFT
101716736,GTA
140108273,BTFV
90304241,THEFT
111609994,BURG
130708118,BURG
110218886,GTA
141408738,THEFT
111801139,GTA
121517506,ROBB
101918279,BURG
121110656,BURG
120304387,GTA
120922331,BURG
90715985,BURG
110804207,GTA
91607270,GTA
140105532,GTA
90322902,ROBB
101721372,GTA
121421171,ROBB
141416004,GTA
91321791,BTFV
91123609,GTA
112119661,THEFT
120212678,ROBB
130904249,BURG
121008813,BURG
92021848,THEFT
101711802,BURG
122117268,BURG
100305382,BTFV
91429539,BTFV
130811053,THEFT
100521292,BURG
132005627,BURG
110918591,BURG
110521211,THEFT
112012868,THEFT
120616443,BURG
91310623,BTFV
141204870,ROBB
122120217,BURG
130817212,BURG
121406499,THEFT
122007314,BURG
130320505,GTA
90701164,BURG
132105479,THEFT
100327668,BURG
101522743,BURG
111721101,BURG
90220551,THEFT
101309679,ROBB
90308037,GTA
110300602,ROBB
140104021,THEFT
130214644,GTA
122106843,BTFV
120504748,THEFT
90207716,ROBB
91524879,GTA
110113531,THEFT
90711229,ROBB
101308737,BURG
91012167,THEFT
101704096,GTA
121511580,GTA
110605056,THEFT
100624938,THEFT
121708177,THEFT
111405395,BURG
90323127,BTFV
100219078,GTA
90814227,GTA
130305413,THEFT
140213876,THEFT
101221376,BTFV
131423447,ROBB
92100568,BURG
111500766,THEFT
92018201,BURG
131012769,BURG
111909600,BURG
100811273,GTA
110310664,THEFT
130312553,BTFV
100307802,BURG
100801253,BURG
90511001,BURG
131905372,GTA
101317618,BTFV
110607755,BTFV
130717796,ROBB
111210727,ROBB
140804581,ROBB
111418847,BURG
120321637,ROBB
140906493,GTA
131817391,GTA
100206009,BTFV
121409100,BTFV
110207066,ROBB
90900691,GTA
91927280,GTA
91415689,ROBB
131004607,GTA
90506883,GTA
130310224,GTA
91022208,BURG
90205682,BTFV
130623285,ROBB
91228645,THEFT
101609238,BTFV
90120628,BTFV
131120047,ROBB
130309007,BURG
140509804,BURG
101604619,BURG
92110185,BURG
101319551,THEFT
121918102,BURG
120315101,BTFV
100625462,GTA
121822140,AGG
91507076,BURG
91515337,ROBB
110118788,GTA
90718066,BURG
101709001,BURG
120209658,ROBB
130217095,AGG
141808695,GTA
91706318,THEFT
132117527,BURG
100904411,ROBB
120316518,BURG
90214887,ROBB
91326037,ROBB
130204585,BURG
91425092,BURG
131600505,BTFV
90513363,GTA
120204234,THEFT
90819610,BURG
120814405,GTA
91507889,ROBB
100508914,BTFV
111513045,ROBB
90610396,GTA
130415591,BURG
110707478,ROBB
111921379,BTFV
101912654,ROBB
121517581,BURG
122005640,BURG
131221849,THEFT
120716992,THEFT
111705033,GTA
131011645,ROBB
101612543,GTA
101320373,BTFV
101428744,ROBB
91823151,GTA
131601569,GTA
141106512,ROBB
90922048,BTFV
121516509,ROBB
131013809,BURG
131015474,GTA
111806599,THEFT
120904038,BTFV
121120795,THEFT
110501382,BURG
121017740,GTA
112020931,BTFV
112005237,THEFT
122020237,THEFT
110629545,BURG
91020302,THEFT
141808913,BURG
91905365,THEFT
121918477,THEFT
100318883,ROBB
90901006,BTFV
101408572,THEFT
112109216,GTA
91921120,GTA
91511104,ROBB
111112105,THEFT
111204035,THEFT
121010767,THEFT
111710931,ROBB
130805313,ROBB
91817839,THEFT
130515296,BTFV
120210992,BURG
111214746,BURG
101620595,THEFT
111011076,THEFT
120904029,BTFV
90706753,GTA
91013334,ROBB
91501303,GTA
91805787,BTFV
111620796,GTA
110311247,THEFT
120312497,THEFT
91124807,BTFV
131925375,GTA
131809301,AGG
130220258,BURG
111910737,BTFV
100904942,THEFT
100310832,BTFV
120313772,BURG
131922660,BTFV
110624626,GTA
101501617,GTA
120607884,BTFV
130912427,BURG
121911458,ROBB
141206113,ROBB
130806396,ROBB
131217123,BTFV
110708832,THEFT
111600782,THEFT
131221825,ROBB
111326949,BTFV
110317333,GTA
141904762,BURG
90919663,BURG
131608311,GTA
101305946,GTA
92113621,GTA
120615024,BURG
91004593,BTFV
120618377,GTA
121212857,GTA
130507088,ROBB
102117363,ROBB
121810373,BTFV
141607217,BURG
131209412,GTA
130709561,GTA
121316694,GTA
111225533,BURG
111617658,GTA
140313886,GTA
130417099,AGG
130705763,GTA
131429724,THEFT
122115894,BURG
101508866,BURG
90107965,BTFV
121323512,THEFT
121306200,THEFT
90209228,BURG
101516807,GTA
100310062,BURG
131713397,BURG
90322650,BURG
91023258,BURG
91825649,BURG
122011032,ROBB
111319748,GTA
121613526,ROBB
121205529,BTFV
141205104,BURG
141113434,BTFV
120922291,BTFV
120904069,BURG
130711038,ROBB
101204638,AGG
130718375,THEFT
91114136,GTA
121210666,ROBB
112116607,BURG
91110089,GTA
141509708,BURG
111321972,GTA
100408907,GTA
91621735,THEFT
101007299,GTA
101218905,BTFV
132119584,GTA
91411436,BURG
101309144,BTFV
130624836,GTA
120216328,GTA
101209699,BTFV
111900577,THEFT
121215734,THEFT
100518036,THEFT
101208525,BTFV
92121817,BURG
131116335,GTA
140605511,THEFT
131405180,GTA
120320421,THEFT
120214542,BTFV
90329123,AGG
100806783,BURG
132016190,BURG
101501591,BTFV
130812207,GTA
131225081,BURG
140710851,THEFT
91219989,BTFV
110207338,BURG
120414716,GTA
92015291,GTA
100408472,BURG
91908646,BURG
91614108,GTA
91410690,GTA
131307213,GTA
141813347,THEFT
110707636,BURG
100405313,BURG
130400858,BTFV
101915944,BURG
111120501,ROBB
122009816,ROBB
130417725,GTA
130516740,GTA
111704844,BURG
90914934,GTA
101701057,BTFV
130713629,ROBB
110604871,BTFV
121210271,BTFV
130320622,BURG
120315925,BURG
101820483,GTA
91307562,GTA
121609828,BURG
111505683,BURG
91524902,BTFV
91315465,BURG
131510932,BURG
111506808,THEFT
121016628,GTA
130405851,ROBB
111113723,GTA
121910599,BTFV
131206996,GTA
101814159,BTFV
100716853,BURG
100907189,BURG
91216547,BTFV
91231863,GTA
91023203,BTFV
132110607,THEFT
111714956,ROBB
130900869,GTA
120600968,THEFT
121113837,GTA
130207834,ROBB
91008603,ROBB
141210191,BTFV
90709092,BTFV
111707489,GTA
141800578,BURG
131407459,BURG
90907802,ROBB
131607856,GTA
111117798,GTA
91308824,BURG
111819974,BURG
141911964,THEFT
90413318,GTA
100207832,ROBB
100804979,ROBB
110811433,ROBB
101823684,ROBB
140511523,THEFT
120204391,BURG
130104231,THEFT
110319610,THEFT
90417101,THEFT
120323692,BTFV
110107240,BURG
131706865,BTFV
111314915,BURG
91808866,BTFV
101218260,BTFV
121504836,BURG
92124760,THEFT
142111817,BURG
130625592,ROBB
90304308,GTA
121619663,THEFT
90317631,BTFV
90820231,GTA
121601545,ROBB
111606964,GTA
120520596,GTA
122004536,BTFV
90213182,BURG
120408729,GTA
91718356,GTA
111120229,GTA
141312757,THEFT
131427687,ROBB
122117073,THEFT
91008995,THEFT
141204257,GTA
111811809,BTFV
100508378,GTA
100710017,THEFT
110322379,THEFT
120801292,ROBB
121105704,BTFV
130205393,BURG
100914537,THEFT
141505704,THEFT
101909267,THEFT
111922501,GTA
142004332,BURG
121120675,BURG
110710429,GTA
90626372,THEFT
102108174,BTFV
90416192,THEFT
120115457,BTFV
110319419,ROBB
120327018,BURG
91304403,BTFV
111206389,BURG
142105034,GTA
131116991,GTA
131913069,BURG
91817449,BTFV
110919599,GTA
101804758,BTFV
90105485,BTFV
111307702,ROBB
110407346,AGG
131520778,THEFT
91309223,GTA
111907101,BURG
90204532,ROBB
90711387,ROBB
110619002,ROBB
140400782,BTFV
130413299,ROBB
131101003,BURG
111224699,ROBB
91004702,GTA
101410772,ROBB
111019415,ROBB
110714790,ROBB
110517215,GTA
90618820,ROBB
111520051,GTA
100316682,BURG
110207496,BTFV
100908013,BTFV
131719050,BURG
100606053,BURG
92008749,THEFT
121605013,BURG
140806675,BURG
110305791,ROBB
130624467,ROBB
101513644,BURG
120623921,ROBB
121714642,ROBB
140613484,THEFT
120416575,GTA
131428575,THEFT
90800839,BTFV
131415294,BURG
131909018,BTFV
101804033,BTFV
121909008,ROBB
101205167,GTA
101229132,BTFV
101510156,GTA
90413483,GTA
141414671,THEFT
120613009,BURG
110313707,BURG
100512886,GTA
90805618,THEFT
131520634,BURG
110816852,BURG
90116959,BURG
121005287,BURG
91220616,GTA
121318507,GTA
91023850,BTFV
121226236,BURG
91307539,ROBB
90819297,THEFT
101225167,GTA
101706939,THEFT
120319122,BTFV
121810805,BURG
92006217,ROBB
90904519,BURG
121808786,BURG
110613523,THEFT
121210232,ROBB
131414570,BTFV
101205373,GTA
121212840,THEFT
131227244,GTA
130326432,ROBB
130718013,BURG
131600585,THEFT
90900964,BTFV
140116831,BTFV
101714716,GTA
101228208,ROBB
120814370,GTA
90411825,BURG
102104785,ROBB
111808275,BURG
141215517,THEFT
120605750,BTFV
111111884,ROBB
90916472,BTFV
101306494,BURG
101206771,ROBB
121118088,BTFV
140114507,BURG
91611326,THEFT
120921135,BTFV
91701257,ROBB
131416837,ROBB
121917694,GTA
111707401,ROBB
111215953,GTA
130408137,GTA
90707449,THEFT
130806689,BURG
90622563,BTFV
91218599,BTFV
110307921,BTFV
130700977,BURG
90611725,THEFT
90306979,BTFV
141211354,BURG
111307848,BURG
110114551,THEFT
131609904,BURG
121712504,GTA
91509985,ROBB
120604747,ROBB
140504883,BTFV
120208456,BTFV
121504055,BTFV
141105697,BURG
100907179,BURG
140706108,GTA
141007802,THEFT
121507023,BURG
120913289,BURG
140406094,AGG
120918488,GTA
90807363,GTA
91521847,THEFT
111820099,ROBB
130325666,THEFT
131216628,THEFT
92124242,BTFV
101519590,GTA
131109701,BURG
90711616,BTFV
102107702,BURG
100311105,ROBB
140406101,BURG
121212595,GTA
142005745,BURG
131805739,BURG
130222843,BTFV
121000846,BTFV
120900774,BURG
131220064,THEFT
91326854,THEFT
131015216,THEFT
91305138,BTFV
91423549,GTA
91925507,THEFT
131608076,BURG
130716012,THEFT
91415337,ROBB
91109390,BURG
131509332,BURG
130517524,THEFT
92113682,GTA
101925019,ROBB
112119042,THEFT
100314742,BURG
110719052,AGG
101414882,THEFT
91319900,BTFV
100617994,GTA
110321290,THEFT
110216622,ROBB
120914142,GTA
121908371,GTA
110708881,ROBB
91124612,BURG
101408358,BURG
121104430,BTFV
131310732,BURG
122110518,GTA
111214835,GTA
130501145,GTA
91508104,GTA
110628148,GTA
141810835,THEFT
121408842,ROBB
130223979,BURG
91014388,BURG
120507179,THEFT
111601297,BTFV
120113982,GTA
110323133,ROBB
91209257,THEFT
101218749,BTFV
122118149,THEFT
141414822,THEFT
111313263,BTFV
121104914,GTA
101020571,THEFT
90712364,BTFV
130614751,GTA
92100582,ROBB
121005953,GTA
90610273,THEFT
131500976,BURG
131005991,ROBB
101806380,ROBB
110404475,GTA
120416550,GTA
91124034,GTA
91209305,ROBB
122004622,THEFT
101120820,GTA
90707244,ROBB
111500923,GTA
110701166,BURG
90212946,BTFV
121015263,GTA
141911472,BTFV
101018442,THEFT
110207501,THEFT
90716021,BURG
90322903,ROBB
111206903,GTA
121807818,ROBB
101516480,ROBB
100506596,GTA
91409332,GTA
91710653,ROBB
130216846,BURG
121210654,BURG
131112179,GTA
101819090,BURG
101222212,BURG
101308647,THEFT
121918881,GTA
131716217,BURG
111410278,THEFT
131416243,ROBB
100411178,BTFV
90111309,GTA
130811119,THEFT
131117626,GTA
121615879,GTA
130718713,ROBB
91014885,ROBB
120218152,GTA
121321844,ROBB
131924306,BURG
101821046,GTA
111822848,ROBB
121309606,GTA
132106086,THEFT
101600998,GTA
101825038,BTFV
121211478,BURG
90925305,BURG
92015860,ROBB
111609086,BTFV
111605538,GTA
141712252,GTA
101817309,BTFV
130306060,THEFT
100318295,BTFV
100913827,ROBB
121222588,ROBB
100101311,THEFT
120325505,THEFT
101226060,THEFT
131000823,ROBB
91311954,AGG
141212198,BTFV
121506512,BURG
111801187,BTFV
91819341,GTA
130308392,BTFV
101519432,BURG
91511255,BTFV
120604636,THEFT
101118980,GTA
91811132,BTFV
131317295,ROBB
91020357,ROBB
141309842,BTFV
102013370,GTA
131216224,BTFV
110119654,ROBB
100325817,ROBB
91427775,THEFT
121923104,BURG
130916945,GTA
141309115,ROBB
90318092,BURG
102114068,BURG
131318347,BURG
110700539,THEFT
131118981,ROBB
121117338,GTA
122109442,BURG
101813646,BURG
120311746,BTFV
90320315,ROBB
101406638,BURG
140804494,BTFV
120106689,ROBB
110817330,BURG
100113772,BURG
130117140,BTFV
110520594,GTA
131508929,BURG
100317419,BTFV
91311347,THEFT
100704515,BURG
140904278,BURG
91110361,BURG
120123887,THEFT
130517693,AGG
100326468,ROBB
90627044,ROBB
130606541,THEFT
90306163,BTFV
102118043,BTFV
101427938,ROBB
100318301,GTA
121822395,THEFT
140311384,GTA
92013807,ROBB
130117469,THEFT
121105361,BURG
131613464,BTFV
131601165,BTFV
100625112,ROBB
121213013,GTA
100623630,BURG
91821628,ROBB
91518767,GTA
91705531,GTA
142111269,THEFT
111916045,GTA
90514368,BTFV
111207339,GTA
110708421,BURG
111117686,THEFT
101910614,GTA
121422998,GTA
110206239,THEFT
90311555,ROBB
100502288,ROBB
130300521,GTA
90711060,ROBB
131424303,THEFT
100905928,THEFT
100216510,THEFT
121019396,GTA
111225061,THEFT
110922679,BURG
130113665,GTA
100620973,ROBB
131319281,BURG
111504342,BURG
110325633,GTA
130624984,BTFV
91808227,GTA
142111667,BURG
111406740,ROBB
131609732,GTA
120222428,BTFV
120700588,BURG
141214266,GTA
110404714,THEFT
111307611,BURG
101213401,BURG
110911304,THEFT
101224081,THEFT
142013075,THEFT
131511828,GTA
141410330,BTFV
101926913,GTA
90321968,THEFT
121219971,ROBB
140407669,ROBB
131414552,GTA
141304665,ROBB
92110645,BURG
101904845,GTA
101621315,GTA
131424258,GTA
121427556,BURG
111922969,BTFV
101304727,GTA
100713588,BURG
