DR,CRIMETYPE
131004243,BURG
90408484,GTA
100923722,GTA
101519991,BURG
131800640,BTFV
101916220,GTA
90701125,GTA
130221220,BTFV
101200524,BTFV
91014677,GTA
130620169,BURG
130316894,THEFT
141408224,BURG
101205100,BTFV
111228431,BURG
92111825,GTA
101009631,BURG
130807598,GTA
120405469,BURG
131801488,BTFV
91120264,GTA
100518161,ROBB
141006555,BURG
111812156,GTA
112021697,GTA
121816926,THEFT
140708736,BURG
121804720,BURG
141911135,GTA
101106635,BURG
90519831,ROBB
101211414,GTA
101707704,ROBB
101716736,ROBB
140108273,BURG
90304241,GTA
111609994,BURG
130708118,GTA
110218886,GTA
141408738,THEFT
111801139,GTA
121517506,ROBB
101918279,BURG
121110656,BURG
120304387,GTA
120922331,BURG
90715985,BURG
110804207,BURG
91607270,ROBB
140105532,ROBB
90322902,ROBB
101721372,BURG
121421171,ROBB
141416004,GTA
91321791,BURG
91123609,GTA
112119661,THEFT
120212678,THEFT
130904249,GTA
121008813,GTA
92021848,7
101711802,BURG
122117268,BURG
100305382,BURG
91429539,AGG
130811053,THEFT
100521292,GTA
132005627,BURG
110918591,BURG
110521211,THEFT
112012868,ROBB
120616443,BURG
91310623,BTFV
141204870,ROBB
122120217,BURG
130817212,BTFV
121406499,7
122007314,GTA
130320505,GTA
90701164,ROBB
132105479,THEFT
100327668,BURG
101522743,BURG
111721101,AGG
90220551,THEFT
101309679,ROBB
90308037,ROBB
110300602,ROBB
140104021,7
130214644,GTA
122106843,GTA
120504748,THEFT
90207716,ROBB
91524879,ROBB
110113531,THEFT
90711229,ROBB
101308737,BURG
91012167,ROBB
101704096,ROBB
121511580,BTFV
110605056,THEFT
100624938,THEFT
121708177,THEFT
111405395,BURG
90323127,BURG
100219078,GTA
90814227,GTA
130305413,THEFT
140213876,GTA
101221376,BURG
131423447,THEFT
92100568,BURG
111500766,THEFT
92018201,GTA
131012769,BURG
111909600,GTA
100811273,GTA
110310664,THEFT
130312553,BTFV
100307802,BTFV
100801253,BURG
90511001,GTA
131905372,GTA
101317618,AGG
110607755,BTFV
130717796,GTA
111210727,ROBB
140804581,GTA
111418847,GTA
120321637,ROBB
140906493,7
131817391,GTA
100206009,BTFV
121409100,BTFV
110207066,ROBB
90900691,GTA
91927280,GTA
91415689,GTA
131004607,BURG
90506883,GTA
130310224,ROBB
91022208,GTA
90205682,AGG
130623285,BURG
91228645,ROBB
101609238,BTFV
90120628,AGG
131120047,GTA
130309007,ROBB
140509804,GTA
101604619,GTA
92110185,GTA
101319551,ROBB
121918102,ROBB
120315101,BTFV
100625462,GTA
121822140,BTFV
91507076,BURG
91515337,ROBB
110118788,ROBB
90718066,GTA
101709001,GTA
120209658,GTA
130217095,BTFV
141808695,GTA
91706318,ROBB
132117527,BURG
100904411,ROBB
120316518,GTA
90214887,GTA
91326037,THEFT
130204585,BURG
91425092,GTA
131600505,BTFV
90513363,BURG
120204234,THEFT
90819610,GTA
120814405,BURG
91507889,ROBB
100508914,BURG
111513045,ROBB
90610396,BURG
130415591,BURG
110707478,GTA
111921379,BURG
101912654,ROBB
121517581,BTFV
122005640,BURG
131221849,ROBB
120716992,ROBB
111705033,BURG
131011645,GTA
101612543,GTA
101320373,GTA
101428744,THEFT
91823151,BTFV
131601569,GTA
141106512,BTFV
90922048,BTFV
121516509,ROBB
131013809,BTFV
131015474,GTA
111806599,THEFT
120904038,GTA
121120795,THEFT
110501382,GTA
121017740,BURG
112020931,BTFV
112005237,ROBB
122020237,THEFT
110629545,BURG
91020302,THEFT
141808913,BURG
91905365,ROBB
121918477,THEFT
100318883,THEFT
90901006,BTFV
101408572,THEFT
112109216,BURG
91921120,GTA
91511104,ROBB
111112105,THEFT
111204035,THEFT
121010767,GTA
111710931,BURG
130805313,ROBB
91817839,ROBB
130515296,BURG
120210992,GTA
111214746,BTFV
101620595,GTA
111011076,THEFT
120904029,BTFV
90706753,BURG
91013334,GTA
91501303,BTFV
91805787,BTFV
111620796,BURG
110311247,THEFT
120312497,THEFT
91124807,AGG
131925375,ROBB
131809301,BTFV
130220258,GTA
111910737,BTFV
100904942,THEFT
100310832,BTFV
120313772,GTA
131922660,AGG
110624626,ROBB
101501617,BURG
120607884,GTA
130912427,BURG
121911458,ROBB
141206113,GTA
130806396,BURG
131217123,BURG
110708832,THEFT
111600782,ROBB
131221825,ROBB
111326949,BTFV
110317333,BURG
141904762,BURG
90919663,GTA
131608311,BURG
101305946,GTA
92113621,GTA
120615024,BURG
91004593,GTA
120618377,GTA
121212857,GTA
130507088,GTA
102117363,ROBB
121810373,AGG
141607217,AGG
131209412,BURG
130709561,GTA
121316694,GTA
111225533,BURG
111617658,GTA
140313886,GTA
130417099,AGG
130705763,BURG
131429724,THEFT
122115894,BURG
101508866,GTA
90107965,GTA
121323512,ROBB
121306200,THEFT
90209228,BURG
101516807,ROBB
100310062,BURG
131713397,BURG
90322650,BURG
91023258,BURG
91825649,GTA
122011032,ROBB
111319748,GTA
121613526,ROBB
121205529,BTFV
141205104,BURG
141113434,BTFV
120922291,BTFV
120904069,BTFV
130711038,GTA
101204638,AGG
130718375,ROBB
91114136,GTA
121210666,GTA
112116607,BURG
91110089,GTA
141509708,BURG
111321972,BURG
100408907,BURG
91621735,THEFT
101007299,GTA
101218905,AGG
132119584,GTA
91411436,BTFV
101309144,BTFV
130624836,GTA
120216328,GTA
101209699,BTFV
111900577,ROBB
121215734,THEFT
100518036,ROBB
101208525,BTFV
92121817,BURG
131116335,GTA
140605511,ROBB
131405180,BURG
120320421,ROBB
120214542,AGG
90329123,BTFV
100806783,GTA
132016190,GTA
101501591,BTFV
130812207,GTA
131225081,BTFV
140710851,ROBB
91219989,BTFV
110207338,GTA
120414716,GTA
92015291,BURG
100408472,ROBB
91908646,GTA
91614108,GTA
91410690,GTA
131307213,BURG
141813347,7
110707636,BURG
100405313,BTFV
130400858,BTFV
101915944,GTA
111120501,GTA
122009816,ROBB
130417725,BURG
130516740,ROBB
111704844,BTFV
90914934,GTA
101701057,BTFV
130713629,ROBB
110604871,BTFV
121210271,BURG
130320622,BURG
120315925,BURG
101820483,GTA
91307562,GTA
121609828,BURG
111505683,BURG
91524902,BURG
91315465,BURG
131510932,BTFV
111506808,THEFT
121016628,GTA
130405851,GTA
111113723,GTA
121910599,BTFV
131206996,ROBB
101814159,BTFV
100716853,BURG
100907189,BTFV
91216547,AGG
91231863,GTA
91023203,BTFV
132110607,ROBB
111714956,ROBB
130900869,BURG
120600968,THEFT
121113837,ROBB
130207834,ROBB
91008603,GTA
141210191,AGG
90709092,BTFV
111707489,GTA
141800578,BTFV
131407459,GTA
90907802,ROBB
131607856,BURG
111117798,GTA
91308824,GTA
111819974,BURG
141911964,THEFT
90413318,GTA
100207832,ROBB
100804979,GTA
110811433,ROBB
101823684,GTA
140511523,GTA
120204391,GTA
130104231,GTA
110319610,ROBB
90417101,THEFT
120323692,GTA
110107240,BTFV
131706865,AGG
111314915,GTA
91808866,BTFV
101218260,BTFV
121504836,BURG
92124760,ROBB
142111817,BURG
130625592,ROBB
90304308,GTA
121619663,ROBB
90317631,AGG
90820231,GTA
121601545,GTA
111606964,BURG
120520596,ROBB
122004536,BTFV
90213182,AGG
120408729,GTA
91718356,GTA
111120229,ROBB
141312757,THEFT
131427687,ROBB
122117073,7
91008995,ROBB
141204257,GTA
111811809,BTFV
100508378,GTA
100710017,7
110322379,ROBB
120801292,GTA
121105704,BTFV
130205393,BURG
100914537,THEFT
