DR,CRIMETYPE
131004243,BTFV
90408484,AGG
100923722,BTFV
101519991,AGG
131800640,AGG
101916220,AGG
90701125,THEFT
130221220,BTFV
101200524,AGG
91014677,ROBB
130620169,BTFV
130316894,THEFT
141408224,AGG
101205100,AGG
111228431,BURG
92111825,BURG
101009631,BTFV
130807598,BTFV
120405469,BTFV
131801488,AGG
91120264,BTFV
100518161,ROBB
141006555,BURG
111812156,ROBB
112021697,BURG
121816926,THEFT
140708736,AGG
121804720,AGG
141911135,THEFT
101106635,GTA
90519831,THEFT
101211414,ROBB
101707704,THEFT
101716736,THEFT
140108273,ROBB
90304241,BURG
111609994,AGG
130708118,BURG
110218886,GTA
141408738,THEFT
111801139,BURG
121517506,ROBB
101918279,BURG
121110656,BURG
120304387,GTA
120922331,BURG
90715985,BTFV
110804207,BURG
91607270,GTA
140105532,BURG
90322902,ROBB
101721372,BTFV
121421171,ROBB
141416004,BTFV
91321791,AGG
91123609,BURG
112119661,THEFT
120212678,ROBB
130904249,THEFT
121008813,BURG
92021848,THEFT
101711802,BTFV
122117268,BTFV
100305382,AGG
91429539,AGG
130811053,THEFT
100521292,BURG
132005627,BTFV
110918591,BTFV
110521211,THEFT
112012868,GTA
120616443,THEFT
91310623,AGG
141204870,ROBB
122120217,GTA
130817212,BTFV
121406499,THEFT
122007314,BURG
130320505,GTA
90701164,BTFV
132105479,THEFT
100327668,AGG
101522743,BTFV
111721101,THEFT
90220551,THEFT
101309679,ROBB
90308037,THEFT
110300602,THEFT
140104021,THEFT
130214644,BURG
122106843,AGG
120504748,THEFT
90207716,ROBB
91524879,GTA
110113531,ROBB
90711229,BURG
101308737,BTFV
91012167,THEFT
101704096,BURG
121511580,AGG
110605056,THEFT
100624938,ROBB
121708177,THEFT
111405395,BURG
90323127,AGG
100219078,BTFV
90814227,GTA
130305413,THEFT
140213876,ROBB
101221376,AGG
131423447,ROBB
92100568,BURG
111500766,THEFT
92018201,THEFT
131012769,GTA
111909600,ROBB
100811273,THEFT
110310664,ROBB
130312553,GTA
100307802,ROBB
100801253,BURG
90511001,AGG
131905372,BTFV
101317618,AGG
110607755,AGG
130717796,THEFT
111210727,ROBB
140804581,BURG
111418847,BURG
120321637,BURG
140906493,THEFT
131817391,BURG
100206009,AGG
121409100,AGG
110207066,ROBB
90900691,ROBB
91927280,BURG
91415689,AGG
131004607,BURG
90506883,BURG
130310224,GTA
91022208,BTFV
90205682,AGG
130623285,BURG
91228645,THEFT
101609238,AGG
90120628,AGG
131120047,ROBB
130309007,THEFT
140509804,BTFV
101604619,BTFV
92110185,THEFT
101319551,THEFT
121918102,ROBB
120315101,AGG
100625462,BURG
121822140,AGG
91507076,BTFV
91515337,ROBB
110118788,GTA
90718066,BURG
101709001,BTFV
120209658,AGG
130217095,AGG
141808695,ROBB
91706318,THEFT
132117527,BTFV
100904411,GTA
